id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65444,-122.33629,Entire home/apt,99,30,160,8/5/2023,0.88,2,147,1,str-opli-19-002622
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,76,2,196,6/9/2024,1.16,10,337,15,Exempt
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55495,-122.38663,Entire home/apt,189,3,97,6/16/2024,0.64,2,133,23,STR-OPLI-19-002182
9534,The Coolest Tangerine Dream MIL!,31481,Cassie,West Seattle,Fairmount Park,47.55627,-122.38607,Entire home/apt,125,2,77,12/27/2023,0.51,2,1,2,STR-OPLI-19-002182
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65608,-122.33602,Entire home/apt,,30,96,9/28/2020,0.61,2,16,0,STR -OPLI-19-002622
25002,Beautiful Private  Spot in North Ballard,102684,Amanda,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,94,2,1056,6/11/2024,6.12,1,96,61,STR-OPLI-19-002617
37234,Your Home Away From Home.  Private Parking onsite.,160789,Darrell,Ballard,Sunset Hill,47.68897,-122.39424,Entire home/apt,,3,6,8/26/2023,0.06,2,92,2,STR-OPLI-19-002333
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65244,-122.35108,Entire home/apt,109,3,554,6/16/2024,3.49,2,314,28,STR-OPLI-19-000772
202251,Seattle Phinney Ridge Ballard,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.67757,-122.36172,Entire home/apt,275,30,34,2/6/2024,0.28,1,173,4,
210316,"""The 5-Star House""  #9 The red room",2438665,Flor,Other neighborhoods,Crown Hill,47.70085,-122.367,Private room,52,30,76,8/12/2023,0.62,4,43,1,STR-OPLI-19-002472
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.66133,-122.40088,Private room,67,1,377,4/28/2024,2.45,1,235,46,STR-OPLI-19-000684
226677,Sunny Parisian room cozy memory foam bed,30559,Angielena,Other neighborhoods,Georgetown,47.54971,-122.31753,Private room,69,2,278,6/21/2024,1.81,10,334,28,Exempt
229990,Alki Beach 1/2 block to beach,1201633,Wayne,West Seattle,Alki,47.57884,-122.41071,Entire home/apt,270,3,24,5/27/2024,0.33,1,203,11,STR-OPLI-21-000532
241016,Scandinavian Queen Anne Home,956883,Maija,Queen Anne,North Queen Anne,47.6411,-122.37446,Entire home/apt,315,2,147,6/9/2024,1.15,3,324,18,STR-OPLI-21-000431
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,West Queen Anne,47.63626,-122.37083,Entire home/apt,124,2,363,6/19/2024,2.36,3,77,24,STR-OPLI-21-000431
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Other neighborhoods,Phinney Ridge,47.67632,-122.36019,Entire home/apt,110,30,161,10/31/2019,1.05,1,52,0,
284087,Cozy Nest in Heart of City near Convention Cntr,721070,Suzanne,Downtown,First Hill,47.6121,-122.33,Entire home/apt,260,3,320,6/10/2024,2.13,1,300,19,STR-OPLI-19-002053
303277,Hip Condo Private Deck East Lake Union - Long Term,1204187,Kara,Cascade,Eastlake,47.64424,-122.32397,Entire home/apt,150,30,12,2/12/2021,0.08,1,170,0,
338091,"spacious, great location w view",1717589,Judy,Capitol Hill,Broadway,47.61965,-122.32374,Entire home/apt,325,30,117,10/22/2019,0.79,1,263,0,STR-OPLI-21-000724
340706,Charming Wallingford Apartment,1015653,David,Other neighborhoods,Wallingford,47.65431,-122.33358,Entire home/apt,,3,213,6/19/2024,1.42,1,1,13,STR-OPLI-24-000114
340738,Victorian home on Capitol Hill,1729224,Marlow,Capitol Hill,Stevens,47.62376,-122.30494,Entire home/apt,495,100,0,,,4,167,0,
353110,Newly Remodeled Private Cottage in West Seattle!,1788284,Eric,West Seattle,North Admiral,47.58037,-122.39163,Entire home/apt,89,30,92,5/1/2024,0.62,1,144,6,
356248,Amazing Waterview Condo near UW + Eastlake!,306615,Tara,Capitol Hill,Portage Bay,47.65047,-122.32022,Entire home/apt,,30,30,6/6/2024,0.32,2,1,2,
356608,St. John's Apt. 309 *Walkscore 99*,1787819,Saint,Downtown,First Hill,47.61401,-122.32235,Entire home/apt,190,30,221,5/28/2024,1.51,2,118,23,STR-OPLI-19-001273
365550,art loft downtown~ID~Stadiums,1025723,Dirk & Jaq,Downtown,International District,47.60002,-122.32742,Private room,144,3,860,6/10/2024,5.76,2,94,44,STR-OPLI-19-000427
368403,Large Luxury Lakeside Seattle Home,4186078,Trung,Other neighborhoods,Green Lake,47.68528,-122.33125,Entire home/apt,,4,46,4/2/2023,0.35,1,337,0,STR-OPLI-19-001130
370361,Private Guest Studio- Phinney Ridge,1865986,Sheldon,Other neighborhoods,Phinney Ridge,47.68271,-122.35768,Entire home/apt,129,3,346,6/15/2024,2.32,2,60,39,STR-OPLI-19-001288
387078,Modern Capitol Hill. Location. Great Monthly Rates,1121532,Melissa,Capitol Hill,Broadway,47.62361,-122.32577,Entire home/apt,157,30,182,7/6/2023,1.3,10,322,1,STR-OPLI-19-001903
392140,Fantastic View-Close to Light Rail-Solar Powered!,3313235,Leslie,Beacon Hill,North Beacon Hill,47.58576,-122.31581,Private room,81,3,345,6/13/2024,2.33,2,305,21,STR-OPLI-19-001128
392779,2/1 Plush Modern Hilltop Retreat,437055,Jyoti And Tushar,Beacon Hill,North Beacon Hill,47.57389,-122.31428,Entire home/apt,155,30,204,11/6/2023,1.39,1,98,9,STR-OPLI-21-000037
421168,Greenwood Studio,2094547,Samantha & Peter,Other neighborhoods,Greenwood,47.70021,-122.35106,Entire home/apt,107,3,479,6/19/2024,3.29,1,102,38,STR-OPLI-21-000424
430610,❤️󱀁 modern ✔roof deck ✔garage✔90Walkscore [Rare],165390,SeattleStays - Seth Gordon,Other neighborhoods,Wallingford,47.65356,-122.33952,Entire home/apt,465,14,137,4/28/2024,0.95,2,14,3,STR-OPLI-19-001606
461234,Browns House Guest Apt. in Ballard,1870781,Diana,Ballard,Whittier Heights,47.68444,-122.37338,Entire home/apt,99,4,378,6/4/2024,2.58,1,284,19,STR-OPLI-19-003175
475361,NE Seattle Artist Treehouse Suite!,2342082,Marilyn,Lake City,Cedar Park,47.71652,-122.29126,Private room,77,30,116,10/28/2022,0.79,1,179,0,
490076,Super cute w/gardens & charm. Great location!,3921530,Ann Petrich,Other neighborhoods,Fremont,47.65617,-122.35262,Entire home/apt,96,5,444,6/23/2024,3.62,3,28,21,STR-OPLI-19-001657
491958,Columbia City Treehouse Vacation Rental,2431399,Jay,Rainier Valley,Columbia City,47.56007,-122.27873,Entire home/apt,79,30,420,11/22/2022,2.88,1,324,0,STR-OPLI-19-001047
493591,the 5-star  house-# 5-> Marilyn Monroe's room,2438665,Flor,Other neighborhoods,Crown Hill,47.7019,-122.36781,Private room,56,30,182,5/11/2024,1.24,4,364,2,STR-OPLI-19-002472
552325,Lovely 2BR Apt on Portage Bay near UW + Eastlake,306615,Tara,Capitol Hill,Portage Bay,47.65043,-122.32021,Entire home/apt,220,30,35,5/16/2024,0.26,2,193,2,
564220,Cute Bungalow #2 - near Light Rail,2774354,Kristin,Rainier Valley,Mount Baker,47.57783,-122.29251,Private room,,2,273,6/21/2024,1.89,2,0,31,STR-OPLI-19-001749
564428,Cute Bungalow #1 - near Light Rail,2774354,Kristin,Rainier Valley,Mount Baker,47.57796,-122.29373,Private room,65,2,345,6/13/2024,2.37,2,5,47,STR-OPLI-19-001749
565703,Garden Apartment in Madison Valley,2781551,Ron,Central Area,Mann,47.620624,-122.29714,Entire home/apt,184,3,351,11/26/2023,2.56,4,182,6,STR-OPLI-19-001833
566435,"""The 5-Star House"" - # 6->The Hawaiian room",2438665,Flor,Other neighborhoods,Crown Hill,47.70084,-122.36738,Private room,55,30,91,2/28/2024,0.63,4,326,1,STR-OPLI-19-002472
573942,Queen Bee room w/cooling memory foam bed,30559,Angielena,Other neighborhoods,Georgetown,47.54916,-122.31819,Private room,69,2,261,6/16/2024,1.81,10,317,22,Exempt
598023,West Seattle Home at Alaska Junction!,2613029,Jeffrey,West Seattle,Genesee,47.56162,-122.38812,Entire home/apt,199,30,22,6/16/2022,0.17,1,365,0,STR-OPLI-19-000822
609610,A place to stay: studio apartment,3022709,Laura,Rainier Valley,Columbia City,47.56994,-122.29403,Entire home/apt,105,30,36,8/27/2023,0.25,1,318,3,STR-OPLI-22-000371
620518,Spacious quiet/deck Ravenna UW 04-5,3074414,Melissa,Other neighborhoods,Ravenna,47.67489,-122.29078,Entire home/apt,125,30,14,8/16/2023,0.1,132,116,2,STR-OPLI-19-002570
631445,Belltown View Condo,3139639,Alicia,Downtown,Belltown,47.61373,-122.34887,Entire home/apt,200,5,202,6/9/2024,1.4,1,34,29,STR-OPLI-19-003446
635878,"Center UW Remodeled in 2021, Spacious 2 Beds (203)",3074414,Melissa,University District,University District,47.66313,-122.31428,Entire home/apt,125,30,40,9/21/2022,0.3,132,79,0,STR-OPLI-19-002641
637710,Roots at the Center of the Universe,3181546,Farhad,Other neighborhoods,Fremont,47.653,-122.35595,Entire home/apt,264,2,154,6/16/2024,1.1,1,210,10,STR-OPLI-19-003215
654734,Downtown/Convention Center Condo,3294357,Grace,Downtown,First Hill,47.61311,-122.32947,Entire home/apt,175,30,87,5/1/2024,0.61,1,214,5,
661708,Elegant Madison Park Townhome,3340441,Roberta,Central Area,Harrison/Denny-Blaine,47.62563,-122.29181,Entire home/apt,195,30,25,9/24/2023,0.34,1,310,11,STR-OPLI-22-001999
670262,One Bedroom Cozy House + Hot Tub,3396093,Elisa,Other neighborhoods,Greenwood,47.69132,-122.36279,Entire home/apt,,3,9,1/28/2024,0.06,3,0,5,STR-OPLI-23-001176
671828,Private En Suite Room & Hot Tub,3396093,Elisa,Other neighborhoods,Greenwood,47.6911,-122.36467,Private room,,1,12,6/23/2024,0.12,3,0,11,STR-OPLI-23-001176
677266,Victorian double room,30559,Angielena,Other neighborhoods,Georgetown,47.55041,-122.31857,Private room,96,2,133,5/28/2024,0.93,10,346,9,Exempt
677365,Spacious West Seattle Mid Century Modern In-law,926885,Jamie & Kyle,Delridge,South Delridge,47.52957,-122.36013,Entire home/apt,130,1,297,6/9/2024,3.84,2,95,43,STR-OPLI-19-002932
689309,Elegance and Coziness in Broadview,3520873,Philippe,Other neighborhoods,Broadview,47.72131,-122.35846,Private room,146,30,17,10/1/2021,0.12,1,364,0,STR-OPLI-19-003395
703058,True Wallingford Craftsman,1611114,Craig,Other neighborhoods,Wallingford,47.65144,-122.33734,Entire home/apt,265,4,215,10/24/2023,1.5,1,77,8,STR-OPLI-19-001188
704764,Elegant Vintage Craftsman Apartment With Garden,3620313,Catherine,Queen Anne,North Queen Anne,47.64057,-122.36956,Entire home/apt,194,1,355,6/9/2024,2.53,1,118,13,STR-OPLI-19-001424
708774,Clean and Comfortable Eastlake/Lake Union 1 BR,316200,William,Cascade,Eastlake,47.64,-122.32412,Entire home/apt,81,30,143,6/2/2024,1.02,7,112,5,
723723,BAMBOO BUNGALOW,3740695,BleuPapillon,Central Area,Harrison/Denny-Blaine,47.61896,-122.28818,Entire home/apt,524,30,50,8/13/2017,0.35,2,89,0,
723846,"The Cozy Cottage in Maple Leaf (UW, Green Lake)",3737272,Cheryl & Steve,Northgate,Maple Leaf,47.69839,-122.31505,Entire home/apt,134,2,191,6/15/2024,1.38,1,330,10,STR-OPLI-19-002418
748526,Mother in law studio-Ballard/phinne,3932149,Amy,Other neighborhoods,Phinney Ridge,47.67846,-122.36325,Entire home/apt,61,30,85,5/31/2021,0.6,1,248,0,
757840,"Hilltop House: Great Location, New Furnishings",3991908,Becky,Queen Anne,East Queen Anne,47.63349,-122.35611,Entire home/apt,479,4,499,6/13/2024,3.53,1,257,29,STR-OPLI-19-000945
793629,Cheery Seattle House with View,4181120,Candace,Beacon Hill,North Beacon Hill,47.57734,-122.31492,Entire home/apt,121,6,327,6/11/2024,2.33,1,19,10,STR-OPLI-19-003115
797358,Cozy Private Room and Bath in Old Craftsman House,4199445,Liam,Rainier Valley,Mount Baker,47.57265,-122.29136,Private room,,2,181,8/17/2023,1.54,2,0,4,STR-OPLI-19-001423
841274,Goat Hill House Apartment,4133943,Jill,Rainier Valley,Mount Baker,47.58548,-122.29458,Entire home/apt,109,3,210,6/8/2024,1.53,1,291,27,STR-OPLI-19-002082
844939,"Five Star Downtown Designer Urban Suite, Space Needle View",4411144,Emma,Downtown,Belltown,47.61503,-122.3475,Entire home/apt,198,1,267,6/14/2024,1.93,2,310,59,STR-OPLI-19-000420
846763,Right at Home in Ravenna,4421734,Tara,Other neighborhoods,Ravenna,47.67995,-122.30859,Private room,60,30,80,11/18/2023,0.57,1,283,4,
850481,Two Bedroom Cozy Home + Hot Tub,3396093,Elisa,Other neighborhoods,Greenwood,47.68957,-122.36296,Entire home/apt,212,7,7,2/19/2024,0.07,3,20,4,STR-OPLI-23-001176
877203,In Jimi Hendrix's neighborhood 2,287172,Laura,Central Area,Atlantic,47.60029,-122.30185,Private room,53,30,107,1/24/2024,0.78,2,299,4,STR-OPLI-19-002301
